iter	Passed	Remaining
427	1924	2572
428	1927	2565
429	1930	2558
430	1932	2551
431	1950	2564
432	1953	2558
433	1956	2552
434	1959	2544
435	1961	2537
436	1964	2530
437	1972	2531
438	1975	2524
439	1977	2517
440	1981	2511
441	1991	2513
442	1994	2507
443	1997	2500
444	2004	2499
445	2006	2492
446	2009	2486
447	2014	2482
448	2018	2477
449	2025	2475
450	2027	2468
451	2044	2478
452	2049	2474
453	2052	2467
454	2054	2460
455	2057	2454
456	2059	2447
457	2062	2440
458	2064	2433
459	2067	2427
460	2072	2422
461	2074	2416
462	2101	2437
463	2104	2431
464	2107	2424
465	2111	2419
466	2114	2413
467	2116	2406
468	2119	2399
469	2122	2392
470	2124	2386
471	2129	2382
472	2133	2377
473	2136	2370
474	2143	2369
475	2146	2362
476	2148	2356
477	2152	2350
478	2154	2342
479	2161	2341
480	2164	2335
481	2166	2328
482	2168	2321
483	2174	2318
484	2176	2311
485	2178	2304
486	2180	2297
487	2182	2290
488	2185	2283
489	2190	2279
490	2192	2273
491	2194	2266
492	2196	2259
493	2198	2252
494	2201	2245
495	2203	2238
496	2205	2231
497	2210	2228
498	2213	2222
499	2215	2215
500	2220	2211
501	2226	2208
502	2229	2202
503	2231	2196
504	2234	2190
505	2240	2186
506	2242	2181
507	2245	2174
508	2248	2168
509	2250	2162
510	2256	2159
511	2259	2153
512	2262	2147
513	2264	2141
514	2267	2135
515	2272	2131
516	2275	2125
517	2277	2119
518	2280	2113
519	2286	2110
520	2289	2104
521	2291	2098
522	2294	2092
523	2296	2086
524	2303	2083
525	2320	2090
526	2324	2085
527	2327	2080
528	2329	2074
529	2339	2074
530	2342	2068
531	2344	2062
532	2350	2059
533	2352	2052
534	2355	2047
535	2358	2042
536	2364	2038
537	2367	2032
538	2369	2026
539	2372	2020
540	2374	2014
541	2377	2009
542	2381	2004
543	2384	1998
544	2387	1993
545	2391	1988
546	2396	1984
547	2398	1978
548	2400	1972
549	2402	1965
550	2404	1959
551	2406	1953
552	2413	1950
553	2416	1945
554	2418	1939
555	2421	1933
556	2425	1928
557	2428	1923
558	2430	1917
559	2432	1910
560	2433	1904
561	2436	1898
562	2440	1894
563	2443	1888
564	2445	1882
565	2447	1876
566	2449	1870
567	2450	1864
568	2452	1857
569	2457	1854
570	2459	1848
571	2461	1842
572	2463	1836
573	2465	1830
574	2467	1824
575	2473	1820
576	2475	1814
577	2477	1809
578	2480	1803
579	2482	1797
580	2488	1794
581	2490	1788
582	2493	1783
583	2495	1777
584	2498	1772
585	2502	1768
586	2506	1763
587	2508	1757
588	2512	1752
589	2518	1750
590	2521	1745
591	2534	1746
592	2538	1741
593	2540	1736
594	2544	1731
595	2550	1729
596	2554	1724
597	2556	1718
598	2559	1713
599	2561	1707
600	2566	1703
601	2569	1698
602	2572	1693
603	2574	1688
604	2577	1682
605	2579	1677
606	2582	1672
607	2585	1666
608	2587	1661
609	2591	1656
610	2594	1651
611	2597	1646
612	2599	1641
613	2602	1636
614	2607	1632
615	2610	1627
616	2613	1622
617	2615	1616
618	2618	1611
619	2622	1607
620	2625	1602
621	2627	1596
622	2630	1591
623	2632	1586
624	2634	1580
625	2638	1576
626	2640	1570
627	2642	1565
628	2644	1559
629	2646	1554
630	2650	1550
631	2653	1545
632	2656	1540
633	2658	1534
634	2660	1529
635	2662	1523
636	2666	1519
637	2668	1514
638	2671	1509
639	2673	1503
640	2675	1498
641	2677	1492
642	2682	1489
643	2685	1484
644	2688	1479
645	2690	1474
646	2697	1471
647	2699	1466
648	2701	1461
649	2703	1455
650	2706	1450
651	2708	1445
652	2714	1442
653	2716	1437
654	2718	1431
655	2720	1426
656	2722	1421
657	2726	1417
658	2729	1412
659	2731	1406
660	2733	1401
661	2735	1396
662	2736	1391
663	2738	1385
664	2743	1381
665	2745	1376
666	2747	1371
667	2749	1366
668	2751	1361
669	2753	1356
670	2758	1352
671	2760	1347
672	2763	1342
673	2765	1337
674	2767	1332
675	2772	1328
676	2775	1324
677	2778	1319
678	2781	1314
679	2783	1309
680	2787	1305
681	2789	1300
682	2791	1295
683	2793	1290
684	2795	1285
685	2797	1280
686	2800	1275
687	2804	1271
688	2806	1266
689	2808	1261
690	2810	1256
691	2812	1251
692	2814	1246
693	2817	1242
694	2819	1237
695	2821	1232
696	2823	1227
697	2825	1222
698	2827	1217
699	2832	1213
700	2834	1209
701	2836	1204
702	2839	1199
703	2841	1194
704	2845	1190
705	2848	1186
706	2851	1181
707	2854	1177
708	2857	1172
709	2860	1168
710	2867	1165
711	2870	1161
712	2872	1156
713	2881	1154
714	2884	1149
715	2887	1145
716	2891	1141
717	2895	1137
718	2898	1132
719	2901	1128
720	2904	1124
721	2908	1120
722	2912	1115
723	2915	1111
724	2918	1107
725	2921	1102
726	2925	1098
727	2928	1094
728	2931	1089
729	2933	1085
730	2936	1080
731	2938	1076
732	2946	1073
733	2948	1068
734	2951	1064
735	2953	1059
736	2956	1054
737	2958	1050
738	2961	1046
739	2965	1041
740	2972	1039
741	2976	1034
742	2985	1032
743	2988	1028
744	2991	1024
745	2995	1020
746	2999	1015
747	3002	1011
748	3006	1007
749	3011	1003
750	3013	999
751	3016	994
752	3018	990
753	3021	985
754	3023	981
755	3026	976
756	3028	972
757	3031	967
758	3033	963
759	3043	961
760	3062	961
761	3066	957
762	3069	953
763	3071	948
764	3074	944
765	3076	939
766	3079	935
767	3082	931
768	3085	926
769	3088	922
770	3109	923
771	3112	919
772	3114	914
773	3117	910
774	3120	905
775	3123	901
776	3126	897
777	3129	893
778	3132	888
779	3135	884
780	3147	882
781	3149	878
782	3152	873
783	3157	869
784	3160	865
785	3163	861
786	3166	856
787	3168	852
788	3171	848
789	3179	845
790	3182	840
791	3184	836
792	3187	831
793	3189	827
794	3192	823
795	3197	819
796	3202	815
797	3207	811
798	3211	807
799	3223	805
800	3227	801
801	3231	797
802	3235	793
803	3237	789
804	3240	784
805	3242	780
806	3247	776
807	3252	772
808	3255	768
809	3257	764
810	3260	759
811	3264	755
812	3273	752
813	3278	749
814	3284	745
815	3286	740
816	3288	736
817	3290	732
818	3292	727
819	3295	723
820	3298	719
821	3300	714
822	3302	710
823	3304	705
824	3306	701
825	3308	697
826	3311	692
827	3313	688
828	3315	683
829	3317	679
830	3319	675
831	3321	670
832	3323	666
833	3326	662
834	3328	657
835	3330	653
836	3332	649
837	3335	644
838	3337	640
839	3339	636
840	3342	631
841	3344	627
842	3346	623
843	3348	618
844	3350	614
845	3352	610
846	3354	606
847	3356	601
848	3359	597
849	3361	593
850	3363	588
851	3366	584
852	3368	580
853	3371	576
854	3373	572
855	3375	567
856	3377	563
857	3379	559
858	3381	555
859	3383	550
860	3386	546
861	3387	542
862	3390	538
863	3392	534
864	3394	529
865	3396	525
866	3398	521
867	3400	517
868	3402	512
869	3404	508
870	3407	504
871	3409	500
872	3411	496
873	3413	492
874	3415	487
875	3417	483
876	3419	479
877	3422	475
878	3424	471
879	3426	467
880	3428	463
881	3430	458
882	3432	454
883	3434	450
884	3436	446
885	3438	442
886	3440	438
887	3442	434
888	3444	430
889	3446	425
890	3448	421
891	3450	417
892	3453	413
893	3455	409
894	3458	405
895	3460	401
896	3463	397
897	3465	393
898	3469	389
899	3472	385
900	3475	381
901	3479	378
902	3481	374
903	3484	370
904	3486	366
905	3489	362
906	3491	358
907	3494	354
908	3497	350
909	3501	346
910	3503	342
911	3506	338
912	3509	334
913	3511	330
914	3514	326
915	3516	322
916	3519	318
917	3522	314
918	3525	310
919	3528	306
920	3531	302
921	3533	298
922	3536	294
923	3538	291
924	3541	287
925	3543	283
926	3546	279
927	3548	275
928	3551	271
929	3553	267
930	3556	263
931	3558	259
932	3561	255
933	3563	251
934	3568	248
935	3571	244
936	3574	240
937	3577	236
938	3580	232
939	3583	228
940	3587	224
941	3590	221
942	3593	217
943	3596	213
944	3599	209
945	3602	205
946	3605	201
947	3609	197
948	3612	194
949	3615	190
950	3618	186
951	3621	182
952	3625	178
953	3628	174
954	3631	171
955	3633	167
956	3636	163
957	3638	159
958	3641	155
959	3643	151
960	3646	147
961	3648	144
962	3651	140
963	3654	136
964	3656	132
965	3659	128
966	3661	124
967	3664	121
968	3666	117
969	3669	113
970	3671	109
971	3674	105
972	3676	102
973	3679	98
974	3681	94
975	3684	90
976	3686	86
977	3689	82
978	3691	79
979	3693	75
980	3696	71
981	3698	67
982	3701	64
983	3703	60
984	3706	56
985	3709	52
986	3711	48
987	3714	45
988	3716	41
989	3718	37
990	3720	33
991	3726	30
992	3728	26
993	3731	22
994	3733	18
995	3740	15
996	3742	11
997	3744	7
998	3746	3
999	3748	0
